1672610579 Tarkov is not active, not executing action
1672610596 Tarkov is not active, not executing action
1672613479 Dropped item ARMOR
1672613480 Dropped item HEADWEAR
1672613480 Dropped item FACECOVER
1672613480 Dropped item HEADPHONE
1672613481 Dropped item RIG
1672613481 Dropped item BACKPACK
1672614450 Dropped item PRIMARY
1672614458 Dropped item SECONDARY
1672614466 Dropped item RIG
1672614493 Dropped item PISTOL
1672614493 Dropped item SECONDARY
1672614493 Dropped item PRIMARY
1672614501 Dropped item ARMOR
1672614525 Dropped item ARMOR
1672614525 Dropped item HEADWEAR
1672614526 Dropped item FACECOVER
1672614526 Dropped item HEADPHONE
1672614527 Dropped item RIG
1672614527 Dropped item BACKPACK
1672614556 Dropped item PRIMARY
1672614563 Dropped item SECONDARY
1672614576 Dropped item RIG
1672614588 Dropped item PISTOL
1672614588 Dropped item SECONDARY
1672614589 Dropped item PRIMARY
1672614601 Dropped item ARMOR
1672614601 Dropped item HEADWEAR
1672614602 Dropped item FACECOVER
1672614602 Dropped item HEADPHONE
1672614603 Dropped item RIG
1672614603 Dropped item BACKPACK
1672614617 Dropped item PISTOL
1672614617 Dropped item SECONDARY
1672614617 Dropped item PRIMARY
1672621351 Dropped item SECONDARY
1672621383 Failed to drop item SECONDARY because inventory was not open
1672628178  Active: True, Tarkov Active: False, Inventory: False, Ensure Open: False
1672628178  Active: True, Tarkov Active: False, Inventory: False, Ensure Open: False
1672628178  Active: True, Tarkov Active: False, Inventory: False, Ensure Open: False
1672628178  Active: True, Tarkov Active: False, Inventory: False, Ensure Open: False
1672628179  Active: True, Tarkov Active: False, Inventory: False, Ensure Open: False
1672628179  Active: True, Tarkov Active: False, Inventory: False, Ensure Open: False
1672628179  Active: True, Tarkov Active: False, Inventory: False, Ensure Open: False
1672628179  Active: True, Tarkov Active: False, Inventory: False, Ensure Open: False
1672628179  Active: True, Tarkov Active: False, Inventory: False, Ensure Open: False
1672628179  Active: True, Tarkov Active: False, Inventory: False, Ensure Open: False
1672628179  Active: True, Tarkov Active: False, Inventory: False, Ensure Open: False
1672628179  Active: True, Tarkov Active: False, Inventory: False, Ensure Open: False
1672628179  Active: True, Tarkov Active: False, Inventory: False, Ensure Open: False
1672628179  Active: True, Tarkov Active: False, Inventory: False, Ensure Open: False
1672628179  Active: True, Tarkov Active: False, Inventory: False, Ensure Open: False
1672628180  Active: True, Tarkov Active: False, Inventory: False, Ensure Open: False
1672628180  Active: True, Tarkov Active: False, Inventory: False, Ensure Open: False
1672628180  Active: True, Tarkov Active: False, Inventory: False, Ensure Open: False
1672628180  Active: True, Tarkov Active: False, Inventory: False, Ensure Open: False
